Employment by Sector (Rate %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,Gender,Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,
Côte d'Ivoire,Male,Agriculture,50%,50%,49%,49%,50%,49%,49%,52%,53%,54%,54%,53%,,,,,
Denmark,Male,Agriculture,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,3%,3%,,,,,
Djibouti,Male,Agriculture,52%,52%,51%,51%,51%,51%,50%,50%,49%,49%,48%,48%,,,,,
Dominican Republic,Male,Agriculture,19%,18%,19%,18%,18%,17%,17%,16%,15%,14%,15%,15%,,,,,
Ecuador,Male,Agriculture,32%,32%,33%,32%,32%,32%,30%,28%,29%,29%,30%,29%,,,,,
Egypt,Male,Agriculture,28%,28%,26%,25%,26%,24%,24%,23%,22%,22%,22%,22%,,,,,
El Salvador,Male,Agriculture,28%,29%,33%,32%,32%,33%,31%,30%,28%,29%,29%,29%,,,,,
Equatorial Guinea,Male,Agriculture,45%,44%,43%,43%,43%,43%,43%,42%,42%,41%,41%,41%,,,,,
Eritrea,Male,Agriculture,62%,62%,61%,62%,61%,60%,61%,60%,60%,60%,60%,59%,,,,,
Estonia,Male,Agriculture,6%,5%,6%,6%,6%,6%,6%,5%,5%,6%,5%,5%,,,,,
country.eswatini,Male,Agriculture,16%,16%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,,,,,
Fiji,Male,Agriculture,45%,45%,45%,44%,44%,43%,42%,41%,40%,40%,40%,40%,,,,,
Ethiopia,Male,Agriculture,81%,81%,80%,79%,78%,78%,77%,76%,75%,74%,73%,72%,,,,,
Finland,Male,Agriculture,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,5%,5%,,,,,
France,Male,Agriculture,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
French Polynesia,Male,Agriculture,12%,12%,12%,11%,11%,11%,11%,11%,11%,11%,11%,11%,,,,,
Gabon,Male,Agriculture,30%,30%,29%,29%,29%,29%,28%,28%,27%,27%,27%,27%,,,,,
Gambia,Male,Agriculture,25%,26%,26%,26%,25%,25%,25%,25%,25%,25%,25%,24%,,,,,
Georgia,Male,Agriculture,51%,50%,50%,49%,49%,48%,47%,46%,46%,45%,41%,41%,,,,,
Germany,Male,Agriculture,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Ghana,Male,Agriculture,57%,56%,55%,54%,52%,50%,49%,46%,42%,42%,41%,41%,,,,,
Greece,Male,Agriculture,11%,11%,12%,12%,12%,13%,14%,14%,13%,13%,13%,12%,,,,,
Guam,Male,Agriculture,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Guatemala,Male,Agriculture,43%,43%,44%,44%,49%,43%,42%,42%,43%,40%,40%,39%,,,,,
Guinea,Male,Agriculture,65%,65%,65%,66%,65%,65%,65%,64%,64%,64%,63%,63%,,,,,
Guinea-Bissau,Male,Agriculture,67%,68%,67%,67%,67%,67%,67%,67%,67%,67%,66%,66%,,,,,
Guyana,Male,Agriculture,27%,27%,27%,27%,26%,26%,26%,26%,26%,25%,25%,25%,,,,,
Afghanistan,Female,Agriculture,77%,77%,72%,67%,62%,56%,56%,56%,56%,56%,56%,56%,,,,,
Albania,Female,Agriculture,57%,57%,57%,53%,54%,57%,53%,50%,48%,45%,43%,42%,,,,,
Algeria,Female,Agriculture,6%,5%,4%,4%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,
Angola,Female,Agriculture,50%,52%,53%,56%,58%,58%,57%,56%,56%,56%,56%,56%,,,,,
Argentina,Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Armenia,Female,Agriculture,44%,44%,46%,47%,46%,44%,45%,41%,40%,37%,37%,37%,,,,,
Australia,Female,Agriculture,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Austria,Female,Agriculture,6%,5%,5%,5%,5%,4%,4%,5%,4%,4%,4%,4%,,,,,
Azerbaijan,Female,Agriculture,42%,41%,44%,45%,44%,44%,44%,43%,42%,42%,42%,42%,,,,,
Bahamas,Female,Agriculture,0%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,,,,,
Bahrain,Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Bangladesh,Female,Agriculture,68%,67%,66%,66%,65%,65%,65%,64%,64%,63%,60%,59%,,,,,
Barbados,Female,Agriculture,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,2%,2%,,,,,
Belarus,Female,Agriculture,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,,,,,
Belgium,Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Belize,Female,Agriculture,4%,4%,4%,4%,5%,5%,5%,5%,5%,3%,5%,5%,,,,,
Benin,Female,Agriculture,37%,36%,36%,36%,36%,36%,35%,35%,35%,34%,34%,34%,,,,,
Bhutan,Female,Agriculture,71%,69%,68%,66%,68%,67%,66%,67%,66%,66%,65%,65%,,,,,
Bolivia,Female,Agriculture,37%,31%,31%,31%,30%,27%,29%,31%,28%,30%,28%,28%,,,,,
Bosnia and Herzegovina,Female,Agriculture,19%,19%,19%,18%,18%,18%,18%,18%,17%,17%,17%,17%,,,,,
Botswana,Female,Agriculture,18%,19%,20%,20%,20%,19%,19%,19%,18%,18%,18%,18%,,,,,
Brunei Darussalam,Female,Agriculture,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,,,,,
Brazil,Female,Agriculture,14%,13%,12%,12%,11%,6%,6%,5%,5%,5%,4%,4%,,,,,
Bulgaria,Female,Agriculture,6%,6%,5%,5%,5%,4%,4%,5%,4%,4%,5%,4%,,,,,
Burkina Faso,Female,Agriculture,49%,46%,41%,37%,33%,29%,25%,22%,21%,21%,21%,20%,,,,,
Burundi,Female,Agriculture,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,,,,,
Cambodia,Female,Agriculture,50%,47%,44%,40%,36%,33%,32%,32%,31%,31%,31%,30%,,,,,
Cameroon,Female,Agriculture,66%,64%,63%,61%,59%,57%,55%,53%,53%,52%,52%,52%,,,,,
Canada,Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Cape Verde,Female,Agriculture,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,8%,,,,,
Central African Republic,Female,Agriculture,73%,73%,73%,73%,73%,72%,76%,76%,76%,76%,75%,75%,,,,,
Chad,Female,Agriculture,85%,85%,84%,85%,84%,84%,84%,83%,83%,84%,84%,84%,,,,,
Channel Islands,Female,Agriculture,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,3%,,,,,
Chile,Female,Agriculture,6%,5%,5%,5%,5%,5%,5%,4%,5%,5%,5%,5%,,,,,
China,Female,Agriculture,38%,37%,35%,34%,32%,31%,29%,27%,26%,25%,24%,24%,,,,,
Colombia,Female,Agriculture,6%,6%,6%,7%,7%,8%,7%,7%,7%,7%,8%,8%,,,,,
Comoros,Female,Agriculture,63%,63%,63%,64%,64%,64%,64%,64%,63%,63%,63%,63%,,,,,
Congo,Female,Agriculture,41%,41%,40%,40%,40%,39%,39%,38%,37%,37%,37%,36%,,,,,
"Congo, Democratic Republic of the",Female,Agriculture,79%,80%,79%,79%,79%,79%,78%,78%,77%,77%,77%,77%,,,,,
Costa Rica,Female,Agriculture,5%,4%,4%,4%,3%,3%,3%,4%,4%,4%,5%,4%,,,,,
Croatia,Female,Agriculture,14%,14%,14%,15%,15%,12%,10%,8%,7%,6%,5%,5%,,,,,
Cuba,Female,Agriculture,9%,9%,8%,8%,9%,8%,8%,8%,8%,8%,8%,8%,,,,,
Cyprus,Female,Agriculture,2%,3%,3%,2%,2%,2%,2%,2%,2%,2%,1%,1%,,,,,
Czech Republic,Female,Agriculture,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Côte d'Ivoire,Female,Agriculture,41%,41%,41%,41%,41%,40%,40%,40%,41%,41%,41%,40%,,,,,
Denmark,Female,Agriculture,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Djibouti,Female,Agriculture,58%,57%,57%,56%,56%,55%,55%,55%,54%,54%,53%,53%,,,,,
Dominican Republic,Female,Agriculture,2%,3%,2%,2%,2%,2%,2%,2%,1%,1%,1%,1%,,,,,
Ecuador,Female,Agriculture,23%,22%,22%,21%,21%,21%,21%,20%,23%,24%,25%,25%,,,,,
Egypt,Female,Agriculture,47%,46%,46%,43%,43%,38%,43%,43%,40%,38%,37%,37%,,,,,
El Salvador,Female,Agriculture,4%,5%,5%,5%,7%,5%,5%,4%,4%,4%,4%,4%,,,,,
Equatorial Guinea,Female,Agriculture,46%,45%,44%,44%,44%,43%,43%,43%,42%,42%,42%,42%,,,,,
Eritrea,Female,Agriculture,69%,70%,69%,69%,68%,68%,68%,67%,67%,67%,67%,66%,,,,,
Estonia,Female,Agriculture,3%,2%,3%,3%,2%,3%,2%,2%,3%,2%,2%,2%,,,,,
country.eswatini,Female,Agriculture,12%,12%,12%,12%,12%,12%,11%,11%,11%,11%,11%,11%,,,,,
Fiji,Female,Agriculture,42%,42%,42%,42%,41%,41%,41%,40%,40%,39%,39%,39%,,,,,
Ethiopia,Female,Agriculture,71%,70%,70%,68%,66%,65%,64%,63%,62%,61%,60%,60%,,,,,
Finland,Female,Agriculture,3%,3%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
France,Female,Agriculture,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
French Polynesia,Female,Agriculture,6%,6%,6%,6%,6%,5%,5%,5%,5%,5%,5%,5%,,,,,
Gabon,Female,Agriculture,61%,61%,61%,60%,60%,59%,59%,58%,58%,57%,57%,57%,,,,,
Gambia,Female,Agriculture,38%,39%,38%,38%,38%,38%,37%,37%,37%,37%,37%,37%,,,,,
Georgia,Female,Agriculture,57%,56%,55%,55%,54%,54%,53%,52%,50%,49%,46%,45%,,,,,
Germany,Female,Agriculture,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Ghana,Female,Agriculture,50%,49%,48%,46%,45%,43%,42%,35%,28%,27%,27%,26%,,,,,
Greece,Female,Agriculture,12%,12%,12%,13%,13%,13%,13%,13%,12%,12%,11%,11%,,,,,
Guam,Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Guatemala,Female,Agriculture,15%,14%,14%,13%,14%,12%,10%,11%,10%,9%,9%,9%,,,,,
Guinea,Female,Agriculture,73%,73%,73%,73%,72%,72%,72%,72%,71%,72%,71%,70%,,,,,
Guinea-Bissau,Female,Agriculture,72%,72%,72%,72%,71%,72%,71%,71%,71%,71%,70%,70%,,,,,
Guyana,Female,Agriculture,7%,7%,7%,7%,7%,7%,7%,7%,6%,6%,6%,6%,,,,,
Afghanistan,Male,Services,35%,35%,40%,44%,48%,52%,52%,52%,52%,52%,52%,52%,,,,,
Albania,Male,Services,40%,40%,38%,38%,37%,40%,41%,41%,41%,42%,43%,43%,,,,,
Algeria,Male,Services,54%,55%,55%,55%,55%,56%,56%,57%,57%,58%,57%,57%,,,,,
Angola,Male,Services,50%,47%,46%,43%,41%,41%,41%,42%,42%,42%,42%,42%,,,,,
Argentina,Male,Services,65%,65%,66%,65%,66%,66%,65%,64%,66%,67%,68%,68%,,,,,
Armenia,Male,Services,41%,40%,39%,42%,41%,42%,45%,46%,46%,47%,47%,47%,,,,,
Australia,Male,Services,65%,64%,65%,65%,65%,66%,66%,65%,66%,66%,67%,67%,,,,,
Austria,Male,Services,55%,57%,58%,58%,57%,57%,58%,58%,57%,58%,59%,59%,,,,,
Azerbaijan,Male,Services,44%,44%,48%,47%,46%,46%,47%,47%,47%,47%,47%,47%,,,,,
Bahamas,Male,Services,67%,68%,68%,68%,68%,67%,68%,68%,69%,69%,69%,69%,,,,,
Bahrain,Male,Services,59%,57%,57%,56%,56%,57%,57%,57%,57%,56%,57%,57%,,,,,
Bangladesh,Male,Services,42%,41%,41%,40%,40%,41%,41%,42%,43%,43%,46%,46%,,,,,
Barbados,Male,Services,67%,67%,67%,67%,67%,68%,67%,67%,67%,67%,67%,67%,,,,,
Belarus,Male,Services,45%,44%,45%,45%,45%,45%,45%,45%,45%,44%,44%,44%,,,,,
Belgium,Male,Services,63%,62%,63%,64%,64%,66%,65%,66%,66%,66%,67%,68%,,,,,
Belize,Male,Services,51%,51%,52%,52%,53%,54%,54%,56%,56%,59%,56%,56%,,,,,
Benin,Male,Services,29%,29%,29%,29%,29%,30%,30%,30%,30%,30%,30%,30%,,,,,
Bhutan,Male,Services,36%,36%,37%,38%,36%,38%,39%,37%,38%,38%,38%,38%,,,,,
Bolivia,Male,Services,39%,42%,42%,42%,42%,44%,44%,41%,42%,42%,42%,42%,,,,,
Bosnia and Herzegovina,Male,Services,44%,44%,44%,44%,44%,44%,44%,45%,45%,45%,45%,45%,,,,,
Botswana,Male,Services,45%,46%,47%,47%,47%,47%,47%,48%,48%,48%,48%,48%,,,,,
Brunei Darussalam,Male,Services,72%,73%,73%,74%,74%,74%,75%,75%,76%,76%,77%,77%,,,,,
Brazil,Male,Services,51%,50%,51%,52%,53%,54%,54%,55%,56%,58%,59%,59%,,,,,
Bulgaria,Male,Services,49%,48%,49%,51%,53%,55%,55%,55%,55%,55%,55%,55%,,,,,
Burkina Faso,Male,Services,20%,21%,23%,25%,27%,29%,31%,32%,33%,33%,33%,33%,,,,,
Burundi,Male,Services,9%,9%,9%,9%,9%,9%,9%,10%,9%,9%,9%,9%,,,,,
Cambodia,Male,Services,32%,34%,36%,38%,40%,42%,42%,41%,41%,41%,41%,41%,,,,,
Cameroon,Male,Services,33%,34%,35%,36%,37%,38%,39%,40%,41%,41%,41%,41%,,,,,
Canada,Male,Services,66%,66%,67%,67%,67%,67%,67%,67%,68%,68%,68%,69%,,,,,
Cape Verde,Male,Services,50%,49%,49%,50%,50%,51%,51%,51%,51%,51%,51%,51%,,,,,
Central African Republic,Male,Services,19%,18%,18%,18%,18%,18%,17%,18%,18%,18%,18%,18%,,,,,
Chad,Male,Services,15%,15%,16%,15%,16%,15%,16%,16%,16%,16%,15%,16%,,,,,
Channel Islands,Male,Services,59%,59%,59%,60%,60%,60%,61%,61%,61%,61%,61%,61%,,,,,
Chile,Male,Services,53%,54%,54%,55%,55%,54%,54%,55%,56%,56%,57%,57%,,,,,
China,Male,Services,31%,32%,33%,34%,35%,36%,38%,39%,40%,41%,42%,42%,,,,,
Colombia,Male,Services,51%,51%,51%,51%,51%,52%,53%,53%,54%,54%,54%,54%,,,,,
Comoros,Male,Services,34%,34%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,,,,,
Congo,Male,Services,38%,38%,39%,38%,39%,39%,39%,40%,42%,42%,42%,42%,,,,,
"Congo, Democratic Republic of the",Male,Services,23%,23%,23%,22%,22%,22%,22%,23%,23%,23%,23%,23%,,,,,
Costa Rica,Male,Services,55%,56%,58%,59%,60%,61%,64%,62%,58%,59%,59%,59%,,,,,
Croatia,Male,Services,48%,47%,48%,49%,49%,51%,50%,52%,53%,53%,54%,54%,,,,,
Cuba,Male,Services,54%,53%,54%,55%,53%,51%,54%,54%,54%,54%,55%,55%,,,,,
Cyprus,Male,Services,62%,61%,64%,65%,64%,66%,70%,69%,69%,69%,71%,71%,,,,,
Czech Republic,Male,Services,45%,45%,47%,47%,47%,47%,48%,47%,47%,47%,47%,47%,,,,,
Côte d'Ivoire,Male,Services,39%,39%,39%,39%,38%,39%,39%,39%,38%,38%,38%,38%,,,,,
Denmark,Male,Services,63%,64%,67%,67%,67%,67%,67%,68%,68%,69%,69%,69%,,,,,
Djibouti,Male,Services,39%,39%,39%,39%,40%,40%,40%,40%,40%,41%,41%,41%,,,,,
Dominican Republic,Male,Services,54%,57%,58%,58%,59%,60%,62%,61%,61%,61%,59%,59%,,,,,
Ecuador,Male,Services,45%,45%,43%,45%,45%,46%,46%,46%,46%,47%,47%,47%,,,,,
Egypt,Male,Services,46%,45%,46%,45%,46%,46%,47%,47%,48%,47%,46%,46%,,,,,
El Salvador,Male,Services,46%,46%,45%,45%,45%,45%,47%,47%,47%,47%,46%,47%,,,,,
Equatorial Guinea,Male,Services,35%,35%,36%,36%,36%,37%,37%,37%,38%,39%,39%,39%,,,,,
Eritrea,Male,Services,29%,28%,29%,29%,29%,29%,29%,29%,30%,30%,30%,30%,,,,,
Estonia,Male,Services,46%,47%,51%,51%,48%,49%,51%,53%,52%,53%,53%,53%,,,,,
country.eswatini,Male,Services,59%,59%,59%,59%,60%,60%,60%,60%,60%,60%,60%,61%,,,,,
Fiji,Male,Services,40%,40%,40%,40%,40%,41%,42%,44%,44%,44%,44%,45%,,,,,
Ethiopia,Male,Services,13%,13%,13%,14%,14%,14%,15%,15%,15%,15%,15%,15%,,,,,
Finland,Male,Services,55%,55%,56%,58%,58%,58%,58%,59%,60%,60%,60%,60%,,,,,
France,Male,Services,62%,63%,63%,63%,64%,64%,65%,66%,66%,66%,67%,67%,,,,,
French Polynesia,Male,Services,64%,64%,64%,64%,64%,64%,65%,65%,65%,65%,65%,65%,,,,,
Gabon,Male,Services,56%,56%,57%,57%,57%,57%,58%,58%,59%,59%,59%,59%,,,,,
Gambia,Male,Services,51%,50%,50%,50%,51%,50%,51%,51%,51%,51%,51%,51%,,,,,
Georgia,Male,Services,33%,34%,34%,34%,34%,35%,35%,36%,36%,37%,39%,39%,,,,,
Germany,Male,Services,56%,57%,57%,58%,58%,58%,59%,58%,59%,59%,59%,59%,,,,,
Ghana,Male,Services,28%,29%,30%,31%,32%,33%,34%,37%,40%,41%,41%,41%,,,,,
Greece,Male,Services,59%,59%,59%,60%,63%,64%,65%,66%,67%,67%,67%,67%,,,,,
Guam,Male,Services,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,,,,,
Guatemala,Male,Services,34%,34%,35%,35%,32%,35%,38%,37%,38%,38%,38%,38%,,,,,
Guinea,Male,Services,25%,25%,25%,25%,25%,25%,26%,26%,26%,25%,26%,26%,,,,,
Guinea-Bissau,Male,Services,23%,22%,23%,23%,23%,22%,23%,23%,23%,23%,23%,23%,,,,,
Guyana,Male,Services,41%,41%,41%,41%,41%,41%,42%,42%,42%,42%,42%,42%,,,,,
Afghanistan,Female,Services,13%,13%,17%,20%,23%,27%,28%,28%,28%,28%,28%,28%,,,,,
Albania,Female,Services,34%,34%,33%,36%,34%,32%,37%,38%,38%,40%,42%,43%,,,,,
Algeria,Female,Services,68%,70%,71%,72%,73%,73%,74%,74%,74%,75%,75%,75%,,,,,
Angola,Female,Services,49%,47%,46%,43%,41%,41%,42%,42%,43%,43%,43%,43%,,,,,
Argentina,Female,Services,89%,89%,90%,90%,90%,90%,91%,92%,91%,91%,91%,91%,,,,,
Armenia,Female,Services,48%,49%,49%,47%,48%,48%,49%,51%,52%,55%,55%,56%,,,,,
Australia,Female,Services,88%,88%,89%,89%,90%,90%,90%,90%,90%,90%,91%,91%,,,,,
Austria,Female,Services,81%,83%,83%,84%,83%,83%,83%,83%,84%,84%,85%,85%,,,,,
Azerbaijan,Female,Services,54%,53%,50%,49%,50%,50%,50%,51%,52%,52%,52%,52%,,,,,
Bahamas,Female,Services,94%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,,,,,
Bahrain,Female,Services,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,,,,,
Bangladesh,Female,Services,20%,20%,21%,21%,21%,21%,21%,21%,21%,21%,23%,24%,,,,,
Barbados,Female,Services,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,,,,,
Belarus,Female,Services,72%,72%,72%,72%,72%,72%,73%,73%,73%,73%,73%,73%,,,,,
Belgium,Female,Services,88%,89%,89%,89%,89%,91%,91%,91%,91%,91%,91%,91%,,,,,
Belize,Female,Services,86%,86%,86%,86%,86%,86%,86%,87%,87%,88%,87%,87%,,,,,
Benin,Female,Services,45%,46%,46%,46%,47%,47%,48%,48%,48%,48%,48%,49%,,,,,
Bhutan,Female,Services,24%,25%,26%,27%,23%,24%,23%,25%,24%,25%,25%,26%,,,,,
Bolivia,Female,Services,54%,58%,59%,59%,59%,62%,61%,59%,61%,60%,62%,62%,,,,,
Bosnia and Herzegovina,Female,Services,64%,64%,65%,65%,65%,66%,66%,66%,67%,67%,67%,68%,,,,,
Botswana,Female,Services,70%,70%,70%,70%,70%,71%,71%,71%,72%,72%,72%,72%,,,,,
Brunei Darussalam,Female,Services,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,91%,,,,,
Brazil,Female,Services,73%,74%,75%,76%,77%,81%,82%,83%,83%,84%,85%,85%,,,,,
Bulgaria,Female,Services,66%,66%,68%,71%,71%,71%,72%,72%,73%,73%,73%,73%,,,,,
Burkina Faso,Female,Services,33%,35%,37%,39%,40%,42%,45%,46%,46%,45%,46%,46%,,,,,
Burundi,Female,Services,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,
Cambodia,Female,Services,31%,33%,35%,37%,39%,41%,42%,43%,43%,44%,44%,45%,,,,,
Cameroon,Female,Services,24%,26%,28%,29%,31%,32%,34%,36%,37%,37%,37%,38%,,,,,
Canada,Female,Services,88%,89%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,,,,,
Cape Verde,Female,Services,78%,78%,78%,79%,79%,79%,79%,79%,79%,79%,80%,80%,,,,,
Central African Republic,Female,Services,19%,19%,19%,19%,19%,19%,17%,17%,17%,18%,18%,18%,,,,,
Chad,Female,Services,14%,14%,15%,14%,15%,15%,15%,16%,16%,15%,15%,15%,,,,,
Channel Islands,Female,Services,81%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,84%,,,,,
Chile,Female,Services,83%,83%,84%,85%,84%,84%,85%,85%,84%,84%,84%,84%,,,,,
China,Female,Services,34%,35%,37%,38%,39%,40%,42%,43%,45%,46%,47%,47%,,,,,
Colombia,Female,Services,78%,78%,78%,77%,77%,77%,78%,79%,79%,79%,78%,79%,,,,,
Comoros,Female,Services,25%,25%,24%,24%,25%,24%,24%,24%,24%,24%,24%,24%,,,,,
Congo,Female,Services,36%,36%,37%,36%,37%,37%,38%,39%,41%,41%,41%,41%,,,,,
"Congo, Democratic Republic of the",Female,Services,17%,17%,17%,17%,17%,17%,18%,18%,19%,19%,19%,19%,,,,,
