Employment by Sector (Rate %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,Gender,Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,
Kuwait,Male,Agriculture,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,
Kyrgyzstan,Male,Agriculture,35%,34%,33%,33%,32%,30%,31%,30%,28%,26%,26%,26%,,,,,
Lao People's Democratic Republic,Male,Agriculture,72%,71%,70%,69%,69%,68%,68%,67%,67%,67%,67%,66%,,,,,
Latvia,Male,Agriculture,12%,10%,12%,12%,13%,12%,11%,11%,11%,10%,10%,10%,,,,,
Lebanon,Male,Agriculture,13%,12%,12%,12%,12%,12%,12%,12%,11%,11%,11%,11%,,,,,
Lesotho,Male,Agriculture,78%,77%,77%,76%,76%,75%,75%,75%,75%,74%,74%,74%,,,,,
Liberia,Male,Agriculture,48%,47%,47%,47%,47%,46%,45%,46%,46%,46%,46%,46%,,,,,
Luxembourg,Male,Agriculture,2%,2%,2%,1%,2%,2%,2%,2%,1%,1%,2%,2%,,,,,
Lithuania,Male,Agriculture,14%,10%,12%,11%,11%,11%,11%,12%,12%,11%,10%,10%,,,,,
"Macau, China",Male,Agriculture,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,
Madagascar,Male,Agriculture,79%,77%,76%,75%,74%,72%,72%,72%,72%,72%,71%,71%,,,,,
Malawi,Male,Agriculture,70%,70%,69%,69%,69%,68%,68%,68%,68%,68%,68%,68%,,,,,
Malaysia,Male,Agriculture,17%,17%,16%,17%,14%,15%,16%,15%,15%,14%,14%,14%,,,,,
Mali,Male,Agriculture,67%,67%,67%,67%,67%,68%,67%,67%,63%,67%,67%,67%,,,,,
Maldives,Male,Agriculture,19%,18%,17%,16%,16%,15%,14%,13%,13%,12%,12%,11%,,,,,
Malta,Male,Agriculture,3%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,,,,,
Mauritania,Male,Agriculture,59%,59%,59%,58%,59%,58%,58%,56%,56%,56%,56%,56%,,,,,
Mauritius,Male,Agriculture,10%,10%,10%,9%,8%,8%,8%,8%,8%,8%,8%,8%,,,,,
"Moldova, Republic of",Male,Agriculture,35%,34%,31%,31%,31%,30%,32%,34%,39%,37%,37%,36%,,,,,
Mexico,Male,Agriculture,19%,19%,19%,20%,19%,19%,19%,19%,19%,19%,18%,18%,,,,,
Mongolia,Male,Agriculture,43%,42%,41%,35%,33%,36%,31%,29%,30%,32%,31%,31%,,,,,
Montenegro,Male,Agriculture,9%,8%,7%,6%,6%,6%,6%,7%,7%,8%,9%,9%,,,,,
Morocco,Male,Agriculture,35%,34%,34%,33%,32%,32%,32%,32%,32%,32%,32%,31%,,,,,
Mozambique,Male,Agriculture,67%,66%,66%,65%,65%,64%,63%,62%,61%,61%,61%,61%,,,,,
Myanmar,Male,Agriculture,56%,56%,55%,55%,55%,54%,54%,53%,53%,53%,54%,54%,,,,,
Namibia,Male,Agriculture,34%,33%,33%,33%,30%,28%,32%,28%,25%,22%,22%,22%,,,,,
Nepal,Male,Agriculture,65%,64%,63%,63%,63%,62%,62%,61%,61%,61%,60%,59%,,,,,
New Caledonia,Male,Agriculture,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,3%,,,,,
Netherlands,Male,Agriculture,4%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,,,,,
New Zealand,Male,Agriculture,9%,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,,,,,
Nicaragua,Male,Agriculture,42%,41%,41%,41%,41%,41%,43%,45%,45%,45%,45%,45%,,,,,
Nigeria,Male,Agriculture,49%,49%,48%,48%,48%,47%,47%,46%,45%,45%,45%,45%,,,,,
Niger,Male,Agriculture,81%,81%,81%,81%,80%,80%,80%,80%,79%,80%,79%,79%,,,,,
country.north_macedonia,Male,Agriculture,19%,19%,19%,19%,19%,17%,18%,18%,18%,17%,16%,16%,,,,,
Norway,Male,Agriculture,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,3%,,,,,
Occupied Palestinian Territory,Male,Agriculture,11%,11%,10%,10%,10%,9%,8%,8%,8%,7%,7%,6%,,,,,
Oman,Male,Agriculture,10%,10%,8%,6%,6%,6%,6%,6%,5%,5%,5%,5%,,,,,
Pakistan,Male,Agriculture,37%,38%,36%,35%,35%,34%,33%,34%,33%,34%,34%,33%,,,,,
Panama,Male,Agriculture,21%,24%,24%,23%,22%,22%,21%,20%,19%,20%,18%,18%,,,,,
Papua New Guinea,Male,Agriculture,70%,70%,69%,68%,68%,67%,67%,66%,66%,65%,65%,65%,,,,,
Paraguay,Male,Agriculture,32%,30%,33%,30%,29%,29%,27%,26%,23%,26%,24%,23%,,,,,
Peru,Male,Agriculture,31%,31%,30%,29%,30%,29%,28%,29%,29%,29%,29%,29%,,,,,
Philippines,Male,Agriculture,42%,42%,41%,40%,40%,39%,38%,37%,35%,33%,32%,31%,,,,,
Poland,Male,Agriculture,15%,14%,13%,13%,13%,13%,13%,12%,12%,12%,11%,11%,,,,,
Portugal,Male,Agriculture,11%,11%,11%,11%,11%,13%,12%,11%,10%,9%,8%,8%,,,,,
Puerto Rico,Male,Agriculture,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Qatar,Male,Agriculture,3%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,1%,,,,,
Romania,Male,Agriculture,28%,27%,28%,30%,28%,29%,28%,28%,26%,23%,23%,23%,,,,,
Russian Federation,Male,Agriculture,11%,10%,10%,10%,10%,9%,9%,8%,8%,8%,8%,8%,,,,,
Rwanda,Male,Agriculture,70%,68%,68%,68%,67%,67%,63%,58%,57%,57%,56%,56%,,,,,
Haiti,Female,Agriculture,35%,34%,35%,35%,35%,35%,35%,34%,34%,34%,34%,34%,,,,,
Honduras,Female,Agriculture,9%,10%,11%,12%,9%,11%,10%,9%,7%,8%,9%,9%,,,,,
"Hong Kong, China",Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Hungary,Female,Agriculture,2%,2%,3%,2%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,
Iceland,Female,Agriculture,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
India,Female,Agriculture,69%,68%,67%,66%,63%,60%,60%,59%,59%,58%,58%,57%,,,,,
Indonesia,Female,Agriculture,41%,41%,40%,38%,37%,35%,34%,33%,33%,30%,29%,29%,,,,,
"Iran, Islamic Republic of",Female,Agriculture,33%,31%,30%,28%,27%,25%,24%,22%,23%,22%,21%,21%,,,,,
Iraq,Female,Agriculture,28%,28%,27%,27%,27%,26%,26%,25%,25%,24%,24%,24%,,,,,
Ireland,Female,Agriculture,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Israel,Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,,,,,
Italy,Female,Agriculture,3%,3%,3%,3%,3%,3%,2%,2%,2%,3%,2%,2%,,,,,
Jamaica,Female,Agriculture,8%,8%,8%,8%,8%,8%,8%,8%,8%,9%,9%,9%,,,,,
Japan,Female,Agriculture,4%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,,,,,
Jordan,Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Kazakhstan,Female,Agriculture,30%,29%,28%,27%,26%,25%,23%,21%,17%,15%,14%,14%,,,,,
"Korea, Republic of",Female,Agriculture,8%,8%,8%,7%,7%,6%,6%,6%,5%,5%,4%,4%,,,,,
Kenya,Female,Agriculture,67%,67%,67%,67%,66%,66%,65%,65%,65%,65%,64%,64%,,,,,
Kuwait,Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Kyrgyzstan,Female,Agriculture,34%,34%,32%,32%,31%,30%,33%,34%,32%,28%,28%,28%,,,,,
Lao People's Democratic Republic,Female,Agriculture,78%,77%,75%,74%,73%,73%,72%,71%,71%,71%,70%,70%,,,,,
Latvia,Female,Agriculture,8%,6%,6%,6%,5%,5%,5%,4%,5%,5%,4%,4%,,,,,
Lebanon,Female,Agriculture,18%,17%,17%,17%,17%,17%,17%,16%,16%,16%,16%,16%,,,,,
Lesotho,Female,Agriculture,63%,63%,62%,61%,61%,60%,60%,60%,59%,59%,59%,58%,,,,,
Liberia,Female,Agriculture,48%,48%,48%,47%,47%,46%,46%,46%,46%,47%,46%,46%,,,,,
Luxembourg,Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Lithuania,Female,Agriculture,9%,6%,7%,6%,6%,6%,6%,7%,7%,6%,5%,5%,,,,,
"Macau, China",Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Madagascar,Female,Agriculture,78%,75%,74%,71%,69%,66%,66%,66%,66%,66%,65%,65%,,,,,
Malawi,Female,Agriculture,79%,79%,79%,78%,78%,78%,78%,77%,77%,77%,77%,77%,,,,,
Malaysia,Female,Agriculture,10%,9%,9%,9%,7%,8%,8%,8%,8%,7%,7%,7%,,,,,
Mali,Female,Agriculture,67%,66%,66%,66%,66%,67%,66%,66%,62%,64%,64%,63%,,,,,
Maldives,Female,Agriculture,6%,6%,5%,5%,4%,4%,3%,3%,3%,2%,2%,2%,,,,,
Malta,Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Mauritania,Female,Agriculture,59%,59%,58%,58%,58%,57%,57%,56%,55%,55%,55%,54%,,,,,
Mauritius,Female,Agriculture,8%,8%,8%,8%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,
"Moldova, Republic of",Female,Agriculture,30%,28%,25%,24%,24%,23%,25%,27%,30%,30%,28%,28%,,,,,
Mexico,Female,Agriculture,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Mongolia,Female,Agriculture,40%,39%,39%,32%,32%,34%,28%,26%,27%,28%,26%,26%,,,,,
Montenegro,Female,Agriculture,8%,7%,6%,5%,4%,5%,3%,5%,8%,7%,7%,7%,,,,,
Morocco,Female,Agriculture,61%,60%,61%,61%,61%,60%,60%,60%,60%,60%,59%,59%,,,,,
Mozambique,Female,Agriculture,88%,88%,87%,86%,86%,85%,84%,83%,82%,82%,82%,82%,,,,,
Myanmar,Female,Agriculture,55%,54%,54%,53%,53%,52%,51%,51%,50%,48%,45%,45%,,,,,
Namibia,Female,Agriculture,28%,29%,30%,30%,28%,27%,31%,30%,24%,18%,18%,18%,,,,,
Nepal,Female,Agriculture,84%,83%,83%,83%,82%,82%,82%,81%,81%,81%,80%,80%,,,,,
New Caledonia,Female,Agriculture,2%,2%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Netherlands,Female,Agriculture,2%,2%,2%,2%,2%,2%,1%,1%,2%,1%,1%,1%,,,,,
New Zealand,Female,Agriculture,5%,5%,4%,4%,5%,4%,4%,4%,4%,4%,4%,4%,,,,,
Nicaragua,Female,Agriculture,9%,6%,8%,11%,14%,17%,13%,9%,9%,9%,9%,9%,,,,,
Nigeria,Female,Agriculture,35%,34%,32%,32%,31%,30%,28%,28%,27%,27%,27%,26%,,,,,
Niger,Female,Agriculture,74%,74%,74%,74%,74%,73%,72%,72%,72%,72%,72%,71%,,,,,
country.north_macedonia,Female,Agriculture,17%,18%,18%,18%,19%,18%,20%,18%,18%,16%,16%,16%,,,,,
Norway,Female,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Occupied Palestinian Territory,Female,Agriculture,37%,29%,25%,21%,22%,24%,21%,21%,13%,9%,8%,8%,,,,,
Oman,Female,Agriculture,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Pakistan,Female,Agriculture,73%,75%,73%,74%,74%,75%,75%,73%,72%,73%,73%,73%,,,,,
Panama,Female,Agriculture,3%,7%,8%,8%,7%,8%,9%,8%,8%,9%,9%,9%,,,,,
Papua New Guinea,Female,Agriculture,75%,75%,74%,73%,73%,72%,72%,71%,71%,71%,70%,70%,,,,,
Paraguay,Female,Agriculture,23%,18%,21%,18%,19%,22%,16%,16%,14%,15%,15%,15%,,,,,
Peru,Female,Agriculture,27%,27%,27%,27%,27%,26%,26%,27%,27%,27%,26%,26%,,,,,
Philippines,Female,Agriculture,23%,22%,22%,22%,21%,21%,20%,20%,19%,17%,15%,15%,,,,,
Poland,Female,Agriculture,14%,14%,13%,13%,12%,12%,11%,10%,10%,9%,9%,9%,,,,,
Portugal,Female,Agriculture,12%,12%,12%,11%,9%,9%,8%,6%,5%,5%,4%,4%,,,,,
Puerto Rico,Female,Agriculture,0%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,,,,,
Qatar,Female,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Romania,Female,Agriculture,31%,30%,31%,32%,31%,31%,30%,29%,26%,23%,22%,22%,,,,,
Russian Federation,Female,Agriculture,7%,7%,6%,6%,6%,5%,5%,5%,5%,5%,4%,4%,,,,,
Rwanda,Female,Agriculture,87%,87%,86%,86%,86%,86%,83%,78%,78%,77%,77%,77%,,,,,
Haiti,Male,Services,23%,23%,23%,22%,23%,23%,23%,23%,23%,23%,23%,23%,,,,,
Honduras,Male,Services,32%,31%,31%,31%,32%,31%,33%,39%,37%,39%,34%,35%,,,,,
"Hong Kong, China",Male,Services,79%,79%,80%,81%,81%,80%,80%,80%,81%,80%,80%,80%,,,,,
Hungary,Male,Services,52%,52%,53%,53%,53%,54%,54%,54%,53%,53%,52%,52%,,,,,
Iceland,Male,Services,59%,60%,64%,63%,63%,63%,65%,65%,66%,68%,68%,68%,,,,,
India,Male,Services,29%,29%,29%,29%,30%,31%,31%,32%,32%,33%,33%,33%,,,,,
Indonesia,Male,Services,38%,38%,39%,40%,40%,39%,40%,40%,41%,42%,43%,43%,,,,,
"Iran, Islamic Republic of",Male,Services,47%,47%,48%,49%,48%,48%,47%,47%,49%,50%,50%,50%,,,,,
Iraq,Male,Services,52%,52%,53%,53%,53%,53%,54%,54%,55%,55%,56%,56%,,,,,
Ireland,Male,Services,54%,58%,62%,65%,66%,67%,66%,67%,65%,65%,65%,65%,,,,,
Israel,Male,Services,66%,66%,68%,68%,68%,72%,72%,72%,72%,72%,73%,73%,,,,,
Italy,Male,Services,56%,57%,57%,57%,58%,58%,59%,59%,59%,60%,60%,60%,,,,,
Jamaica,Male,Services,49%,49%,50%,51%,52%,52%,52%,52%,53%,54%,54%,54%,,,,,
Japan,Male,Services,60%,61%,62%,62%,62%,61%,61%,62%,62%,62%,63%,64%,,,,,
Jordan,Male,Services,68%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,,,,,
Kazakhstan,Male,Services,42%,43%,45%,45%,47%,47%,48%,49%,52%,53%,54%,54%,,,,,
"Korea, Republic of",Male,Services,60%,61%,61%,61%,62%,62%,62%,62%,61%,62%,62%,62%,,,,,
Kenya,Male,Services,35%,35%,35%,35%,35%,36%,36%,36%,36%,36%,36%,36%,,,,,
Kuwait,Male,Services,66%,63%,63%,62%,62%,62%,62%,62%,62%,62%,62%,62%,,,,,
Kyrgyzstan,Male,Services,38%,38%,39%,40%,40%,41%,43%,44%,45%,45%,45%,45%,,,,,
Lao People's Democratic Republic,Male,Services,19%,20%,21%,21%,21%,21%,21%,22%,22%,22%,22%,22%,,,,,
Latvia,Male,Services,46%,49%,54%,55%,55%,55%,54%,55%,54%,54%,56%,57%,,,,,
Lebanon,Male,Services,61%,61%,61%,61%,61%,61%,61%,61%,62%,63%,63%,63%,,,,,
Lesotho,Male,Services,14%,14%,15%,15%,15%,15%,16%,16%,16%,16%,16%,16%,,,,,
Liberia,Male,Services,37%,37%,37%,37%,37%,37%,38%,37%,37%,37%,37%,37%,,,,,
Luxembourg,Male,Services,72%,76%,79%,79%,78%,79%,80%,82%,80%,81%,81%,81%,,,,,
Lithuania,Male,Services,45%,48%,52%,55%,56%,54%,54%,55%,54%,54%,54%,55%,,,,,
"Macau, China",Male,Services,70%,70%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,,,,,
Madagascar,Male,Services,16%,17%,18%,18%,19%,21%,20%,21%,21%,21%,21%,21%,,,,,
Malawi,Male,Services,20%,21%,21%,21%,21%,22%,22%,22%,22%,22%,22%,22%,,,,,
Malaysia,Male,Services,51%,52%,53%,51%,53%,52%,51%,52%,52%,54%,54%,54%,,,,,
Mali,Male,Services,24%,24%,24%,24%,24%,24%,24%,24%,28%,25%,25%,25%,,,,,
Maldives,Male,Services,63%,64%,65%,66%,67%,68%,68%,69%,70%,71%,71%,71%,,,,,
Malta,Male,Services,65%,65%,66%,66%,67%,70%,70%,71%,71%,72%,72%,72%,,,,,
Mauritania,Male,Services,29%,29%,30%,30%,29%,30%,30%,31%,31%,31%,31%,31%,,,,,
Mauritius,Male,Services,55%,55%,58%,58%,59%,59%,59%,59%,60%,60%,60%,60%,,,,,
"Moldova, Republic of",Male,Services,39%,41%,43%,45%,44%,45%,45%,43%,38%,41%,43%,43%,,,,,
Mexico,Male,Services,51%,51%,52%,52%,52%,52%,52%,51%,51%,51%,51%,51%,,,,,
Mongolia,Male,Services,41%,40%,40%,45%,45%,40%,43%,44%,44%,43%,44%,44%,,,,,
Montenegro,Male,Services,68%,68%,68%,67%,66%,69%,68%,68%,67%,67%,67%,67%,,,,,
Morocco,Male,Services,42%,42%,42%,42%,43%,43%,43%,44%,43%,44%,44%,44%,,,,,
Mozambique,Male,Services,24%,24%,24%,25%,25%,25%,25%,25%,25%,25%,25%,25%,,,,,
Myanmar,Male,Services,28%,28%,28%,28%,28%,28%,29%,29%,29%,29%,30%,30%,,,,,
Namibia,Male,Services,47%,47%,48%,48%,49%,50%,45%,48%,48%,48%,48%,48%,,,,,
Nepal,Male,Services,19%,20%,20%,20%,20%,20%,20%,20%,21%,21%,21%,21%,,,,,
New Caledonia,Male,Services,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,63%,63%,,,,,
Netherlands,Male,Services,67%,68%,69%,69%,70%,70%,72%,72%,72%,72%,72%,72%,,,,,
New Zealand,Male,Services,59%,59%,60%,60%,61%,61%,62%,61%,59%,61%,62%,62%,,,,,
Nicaragua,Male,Services,37%,39%,40%,40%,40%,41%,38%,35%,35%,36%,36%,36%,,,,,
Nigeria,Male,Services,40%,40%,41%,41%,41%,41%,42%,42%,43%,43%,44%,44%,,,,,
Niger,Male,Services,15%,15%,15%,15%,15%,15%,15%,16%,16%,16%,16%,16%,,,,,
country.north_macedonia,Male,Services,48%,48%,48%,48%,48%,49%,49%,48%,47%,49%,49%,49%,,,,,
Norway,Male,Services,63%,63%,64%,65%,64%,65%,65%,64%,65%,66%,66%,66%,,,,,
Occupied Palestinian Territory,Male,Services,62%,63%,62%,62%,61%,60%,60%,60%,60%,59%,59%,59%,,,,,
Oman,Male,Services,64%,61%,57%,52%,52%,53%,53%,54%,54%,54%,54%,54%,,,,,
Pakistan,Male,Services,40%,40%,41%,41%,40%,40%,40%,41%,41%,40%,40%,41%,,,,,
Panama,Male,Services,54%,52%,52%,53%,54%,54%,53%,54%,56%,57%,58%,58%,,,,,
Papua New Guinea,Male,Services,24%,24%,25%,25%,25%,25%,26%,26%,26%,26%,26%,27%,,,,,
Paraguay,Male,Services,44%,45%,45%,44%,47%,49%,49%,48%,50%,48%,49%,49%,,,,,
Peru,Male,Services,48%,48%,48%,49%,48%,48%,49%,49%,48%,49%,50%,50%,,,,,
Philippines,Male,Services,40%,40%,41%,41%,42%,42%,43%,43%,44%,44%,45%,45%,,,,,
Poland,Male,Services,44%,43%,44%,45%,44%,45%,45%,46%,45%,45%,45%,45%,,,,,
Portugal,Male,Services,48%,49%,50%,51%,52%,53%,55%,57%,57%,58%,58%,58%,,,,,
Puerto Rico,Male,Services,72%,73%,73%,73%,74%,74%,74%,74%,74%,74%,75%,75%,,,,,
Qatar,Male,Services,38%,31%,33%,35%,38%,40%,40%,38%,37%,36%,36%,36%,,,,,
Romania,Male,Services,35%,35%,36%,35%,37%,37%,37%,37%,39%,40%,40%,40%,,,,,
Russian Federation,Male,Services,51%,51%,53%,53%,53%,53%,54%,54%,54%,55%,55%,55%,,,,,
Rwanda,Male,Services,23%,23%,23%,23%,22%,22%,25%,29%,29%,29%,29%,29%,,,,,
Haiti,Female,Services,58%,59%,59%,58%,59%,59%,59%,59%,59%,59%,59%,60%,,,,,
Honduras,Female,Services,68%,69%,69%,69%,70%,68%,71%,68%,72%,72%,70%,71%,,,,,
"Hong Kong, China",Female,Services,94%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,,,,,
Hungary,Female,Services,77%,77%,78%,78%,78%,78%,78%,78%,78%,78%,77%,78%,,,,,
Iceland,Female,Services,89%,89%,89%,90%,90%,90%,90%,90%,91%,91%,91%,91%,,,,,
India,Female,Services,15%,16%,16%,17%,19%,21%,22%,22%,23%,23%,24%,24%,,,,,
Indonesia,Female,Services,44%,44%,46%,47%,48%,49%,50%,51%,52%,54%,55%,55%,,,,,
"Iran, Islamic Republic of",Female,Services,38%,42%,44%,48%,49%,50%,52%,54%,53%,53%,53%,54%,,,,,
Iraq,Female,Services,63%,64%,65%,65%,65%,66%,66%,67%,68%,68%,69%,69%,,,,,
Ireland,Female,Services,88%,89%,89%,89%,90%,90%,90%,90%,90%,89%,90%,90%,,,,,
Israel,Female,Services,89%,89%,90%,90%,90%,91%,91%,91%,91%,91%,92%,92%,,,,,
Italy,Female,Services,80%,81%,83%,83%,83%,84%,84%,84%,84%,85%,85%,85%,,,,,
Jamaica,Female,Services,86%,86%,86%,86%,86%,86%,86%,86%,86%,85%,85%,85%,,,,,
Japan,Female,Services,78%,79%,81%,81%,82%,82%,82%,82%,82%,82%,83%,83%,,,,,
Jordan,Female,Services,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,,,,,
Kazakhstan,Female,Services,58%,59%,61%,61%,62%,63%,65%,67%,71%,73%,74%,74%,,,,,
"Korea, Republic of",Female,Services,76%,77%,79%,79%,79%,80%,80%,81%,81%,82%,82%,82%,,,,,
Kenya,Female,Services,31%,31%,31%,31%,31%,32%,32%,33%,33%,33%,33%,34%,,,,,
Kuwait,Female,Services,97%,96%,96%,96%,96%,96%,95%,95%,95%,95%,95%,95%,,,,,
Kyrgyzstan,Female,Services,55%,55%,56%,57%,58%,59%,56%,54%,57%,61%,61%,61%,,,,,
Lao People's Democratic Republic,Female,Services,16%,18%,19%,20%,20%,20%,21%,22%,23%,23%,23%,24%,,,,,
Latvia,Female,Services,77%,77%,79%,81%,81%,81%,82%,83%,82%,82%,83%,83%,,,,,
Lebanon,Female,Services,72%,72%,72%,73%,73%,73%,73%,73%,73%,74%,74%,75%,,,,,
Lesotho,Female,Services,28%,28%,29%,29%,30%,30%,31%,31%,31%,31%,31%,32%,,,,,
Liberia,Female,Services,47%,47%,47%,47%,47%,48%,48%,48%,48%,48%,48%,48%,,,,,
Luxembourg,Female,Services,93%,93%,95%,94%,95%,95%,95%,95%,95%,95%,96%,96%,,,,,
Lithuania,Female,Services,72%,75%,76%,77%,77%,77%,78%,77%,77%,79%,79%,79%,,,,,
"Macau, China",Female,Services,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,91%,,,,,
Madagascar,Female,Services,19%,21%,22%,23%,24%,26%,26%,27%,27%,27%,28%,28%,,,,,
Malawi,Female,Services,15%,15%,16%,16%,16%,17%,17%,17%,17%,17%,17%,17%,,,,,
Malaysia,Female,Services,67%,68%,71%,71%,72%,71%,72%,72%,73%,73%,74%,74%,,,,,
Mali,Female,Services,27%,27%,27%,27%,27%,26%,27%,27%,32%,32%,32%,32%,,,,,
Maldives,Female,Services,63%,65%,66%,68%,69%,71%,72%,74%,75%,76%,76%,76%,,,,,
Malta,Female,Services,86%,89%,88%,87%,87%,89%,88%,89%,91%,90%,90%,91%,,,,,
Mauritania,Female,Services,35%,34%,35%,35%,35%,36%,36%,38%,38%,38%,38%,39%,,,,,
Mauritius,Female,Services,66%,67%,68%,71%,73%,74%,74%,74%,75%,75%,75%,75%,,,,,
"Moldova, Republic of",Female,Services,58%,58%,62%,63%,64%,64%,62%,61%,59%,58%,60%,60%,,,,,
Mexico,Female,Services,77%,78%,80%,80%,80%,80%,80%,80%,80%,79%,79%,79%,,,,,
Mongolia,Female,Services,49%,49%,51%,56%,56%,54%,58%,60%,60%,59%,62%,62%,,,,,
Montenegro,Female,Services,82%,84%,85%,86%,86%,87%,90%,88%,84%,85%,86%,86%,,,,,
Morocco,Female,Services,25%,25%,26%,26%,26%,28%,28%,28%,28%,29%,29%,29%,,,,,
Mozambique,Female,Services,11%,12%,12%,12%,13%,14%,14%,15%,15%,15%,15%,16%,,,,,
Myanmar,Female,Services,32%,32%,33%,33%,34%,34%,35%,35%,35%,37%,39%,40%,,,,,
Namibia,Female,Services,65%,64%,64%,64%,66%,68%,64%,65%,70%,75%,75%,75%,,,,,
Nepal,Female,Services,11%,11%,11%,12%,12%,12%,12%,13%,13%,13%,13%,13%,,,,,
New Caledonia,Female,Services,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,,,,,
Netherlands,Female,Services,90%,91%,91%,92%,92%,92%,93%,93%,92%,92%,92%,93%,,,,,
New Zealand,Female,Services,85%,85%,86%,86%,86%,86%,86%,86%,86%,87%,86%,86%,,,,,
