Country,Year,Indicator,Subindicator_Type,subindex
Bolivia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5594
Bolivia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,77
Bolivia,2006,Educational_Attainment_Subindex,Index,0.917
Bolivia,2006,Educational_Attainment_Subindex,Rank,89
Bolivia,2006,Health_and_Survival_Subindex,Index,0.9703
Bolivia,2006,Health_and_Survival_Subindex,Rank,79
Bolivia,2006,Political_Empowerment_subindex,Index,0.0875
Bolivia,2006,Political_Empowerment_subindex,Rank,71
Brazil,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6044
Brazil,2006,Economic_Participation_and_Opportunity_Subindex,Rank,63
Brazil,2006,Educational_Attainment_Subindex,Index,0.9724
Brazil,2006,Educational_Attainment_Subindex,Rank,72
Brazil,2006,Health_and_Survival_Subindex,Index,0.9796
Brazil,2006,Health_and_Survival_Subindex,Rank,1
Brazil,2006,Political_Empowerment_subindex,Index,0.061
Brazil,2006,Political_Empowerment_subindex,Rank,86
Botswana,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6926
Botswana,2006,Economic_Participation_and_Opportunity_Subindex,Rank,23
Botswana,2006,Educational_Attainment_Subindex,Index,0.9814
Botswana,2006,Educational_Attainment_Subindex,Rank,67
Botswana,2006,Health_and_Survival_Subindex,Index,0.9561
Botswana,2006,Health_and_Survival_Subindex,Rank,109
Botswana,2006,Political_Empowerment_subindex,Index,0.1287
Botswana,2006,Political_Empowerment_subindex,Rank,47
Canada,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7296
Canada,2006,Economic_Participation_and_Opportunity_Subindex,Rank,10
Canada,2006,Educational_Attainment_Subindex,Index,0.9987
Canada,2006,Educational_Attainment_Subindex,Rank,21
Canada,2006,Health_and_Survival_Subindex,Index,0.9784
Canada,2006,Health_and_Survival_Subindex,Rank,51
Canada,2006,Political_Empowerment_subindex,Index,0.1592
Canada,2006,Political_Empowerment_subindex,Rank,33
Switzerland,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7091
Switzerland,2006,Economic_Participation_and_Opportunity_Subindex,Rank,18
Switzerland,2006,Educational_Attainment_Subindex,Index,0.9569
Switzerland,2006,Educational_Attainment_Subindex,Rank,79
Switzerland,2006,Health_and_Survival_Subindex,Index,0.9792
Switzerland,2006,Health_and_Survival_Subindex,Rank,35
Switzerland,2006,Political_Empowerment_subindex,Index,0.1535
Switzerland,2006,Political_Empowerment_subindex,Rank,34
Chile,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5138
Chile,2006,Economic_Participation_and_Opportunity_Subindex,Rank,90
Chile,2006,Educational_Attainment_Subindex,Index,0.9799
Chile,2006,Educational_Attainment_Subindex,Rank,68
Chile,2006,Health_and_Survival_Subindex,Index,0.9796
Chile,2006,Health_and_Survival_Subindex,Rank,1
Chile,2006,Political_Empowerment_subindex,Index,0.1087
Chile,2006,Political_Empowerment_subindex,Rank,56
China,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6206
China,2006,Economic_Participation_and_Opportunity_Subindex,Rank,53
China,2006,Educational_Attainment_Subindex,Index,0.9574
China,2006,Educational_Attainment_Subindex,Rank,77
China,2006,Health_and_Survival_Subindex,Index,0.9355
China,2006,Health_and_Survival_Subindex,Rank,114
China,2006,Political_Empowerment_subindex,Index,0.1107
China,2006,Political_Empowerment_subindex,Rank,52
Cameroon,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4951
Cameroon,2006,Economic_Participation_and_Opportunity_Subindex,Rank,94
Cameroon,2006,Educational_Attainment_Subindex,Index,0.824
Cameroon,2006,Educational_Attainment_Subindex,Rank,101
Cameroon,2006,Health_and_Survival_Subindex,Index,0.966
Cameroon,2006,Health_and_Survival_Subindex,Rank,97
Cameroon,2006,Political_Empowerment_subindex,Index,0.0611
Cameroon,2006,Political_Empowerment_subindex,Rank,85
Colombia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6605
Colombia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,39
Colombia,2006,Educational_Attainment_Subindex,Index,0.9996
Colombia,2006,Educational_Attainment_Subindex,Rank,14
Colombia,2006,Health_and_Survival_Subindex,Index,0.9796
Colombia,2006,Health_and_Survival_Subindex,Rank,1
Colombia,2006,Political_Empowerment_subindex,Index,0.1799
Colombia,2006,Political_Empowerment_subindex,Rank,27
Costa Rica,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5223
Costa Rica,2006,Economic_Participation_and_Opportunity_Subindex,Rank,89
Costa Rica,2006,Educational_Attainment_Subindex,Index,0.9954
Costa Rica,2006,Educational_Attainment_Subindex,Rank,32
Costa Rica,2006,Health_and_Survival_Subindex,Index,0.9796
Costa Rica,2006,Health_and_Survival_Subindex,Rank,1
Costa Rica,2006,Political_Empowerment_subindex,Index,0.2771
Costa Rica,2006,Political_Empowerment_subindex,Rank,15
Cyprus,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5618
Cyprus,2006,Economic_Participation_and_Opportunity_Subindex,Rank,75
Cyprus,2006,Educational_Attainment_Subindex,Index,0.9893
Cyprus,2006,Educational_Attainment_Subindex,Rank,54
Cyprus,2006,Health_and_Survival_Subindex,Index,0.9693
Cyprus,2006,Health_and_Survival_Subindex,Rank,84
Cyprus,2006,Political_Empowerment_subindex,Index,0.0517
Cyprus,2006,Political_Empowerment_subindex,Rank,95
Czech Republic,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.627
Czech Republic,2006,Economic_Participation_and_Opportunity_Subindex,Rank,52
Czech Republic,2006,Educational_Attainment_Subindex,Index,0.9908
Czech Republic,2006,Educational_Attainment_Subindex,Rank,46
Czech Republic,2006,Health_and_Survival_Subindex,Index,0.9791
Czech Republic,2006,Health_and_Survival_Subindex,Rank,36
Czech Republic,2006,Political_Empowerment_subindex,Index,0.0877
Czech Republic,2006,Political_Empowerment_subindex,Rank,70
Germany,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6694
Germany,2006,Economic_Participation_and_Opportunity_Subindex,Rank,32
Germany,2006,Educational_Attainment_Subindex,Index,0.9954
Germany,2006,Educational_Attainment_Subindex,Rank,31
Germany,2006,Health_and_Survival_Subindex,Index,0.9791
Germany,2006,Health_and_Survival_Subindex,Rank,36
Germany,2006,Political_Empowerment_subindex,Index,0.3657
Germany,2006,Political_Empowerment_subindex,Rank,6
Denmark,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7081
Denmark,2006,Economic_Participation_and_Opportunity_Subindex,Rank,19
Denmark,2006,Educational_Attainment_Subindex,Index,1
Denmark,2006,Educational_Attainment_Subindex,Rank,1
Denmark,2006,Health_and_Survival_Subindex,Index,0.9723
Denmark,2006,Health_and_Survival_Subindex,Rank,76
Denmark,2006,Political_Empowerment_subindex,Index,0.3045
Denmark,2006,Political_Empowerment_subindex,Rank,13
Dominican Republic,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.559
Dominican Republic,2006,Economic_Participation_and_Opportunity_Subindex,Rank,78
Dominican Republic,2006,Educational_Attainment_Subindex,Index,1
Dominican Republic,2006,Educational_Attainment_Subindex,Rank,1
Dominican Republic,2006,Health_and_Survival_Subindex,Index,0.9796
Dominican Republic,2006,Health_and_Survival_Subindex,Rank,1
Dominican Republic,2006,Political_Empowerment_subindex,Index,0.1172
Dominican Republic,2006,Political_Empowerment_subindex,Rank,49
Algeria,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4428
Algeria,2006,Economic_Participation_and_Opportunity_Subindex,Rank,103
Algeria,2006,Educational_Attainment_Subindex,Index,0.9438
Algeria,2006,Educational_Attainment_Subindex,Rank,83
Algeria,2006,Health_and_Survival_Subindex,Index,0.9712
Algeria,2006,Health_and_Survival_Subindex,Rank,78
Algeria,2006,Political_Empowerment_subindex,Index,0.0495
Algeria,2006,Political_Empowerment_subindex,Rank,98
Ecuador,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4994
Ecuador,2006,Economic_Participation_and_Opportunity_Subindex,Rank,92
Ecuador,2006,Educational_Attainment_Subindex,Index,0.9939
Ecuador,2006,Educational_Attainment_Subindex,Rank,38
Ecuador,2006,Health_and_Survival_Subindex,Index,0.9796
Ecuador,2006,Health_and_Survival_Subindex,Rank,1
Ecuador,2006,Political_Empowerment_subindex,Index,0.1003
Ecuador,2006,Political_Empowerment_subindex,Rank,64
Egypt,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4157
Egypt,2006,Economic_Participation_and_Opportunity_Subindex,Rank,108
Egypt,2006,Educational_Attainment_Subindex,Index,0.903
Egypt,2006,Educational_Attainment_Subindex,Rank,90
Egypt,2006,Health_and_Survival_Subindex,Index,0.9738
Egypt,2006,Health_and_Survival_Subindex,Rank,66
Egypt,2006,Political_Empowerment_subindex,Index,0.0218
Egypt,2006,Political_Empowerment_subindex,Rank,111
Spain,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5391
Spain,2006,Economic_Participation_and_Opportunity_Subindex,Rank,85
Spain,2006,Educational_Attainment_Subindex,Index,0.9941
Spain,2006,Educational_Attainment_Subindex,Rank,37
Spain,2006,Health_and_Survival_Subindex,Index,0.973
Spain,2006,Health_and_Survival_Subindex,Rank,71
Spain,2006,Political_Empowerment_subindex,Index,0.4214
Spain,2006,Political_Empowerment_subindex,Rank,5
Estonia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6824
Estonia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,27
Estonia,2006,Educational_Attainment_Subindex,Index,0.9992
Estonia,2006,Educational_Attainment_Subindex,Rank,16
Estonia,2006,Health_and_Survival_Subindex,Index,0.9791
Estonia,2006,Health_and_Survival_Subindex,Rank,36
Estonia,2006,Political_Empowerment_subindex,Index,0.1167
Estonia,2006,Political_Empowerment_subindex,Rank,51
Ethiopia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5683
Ethiopia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,74
Ethiopia,2006,Educational_Attainment_Subindex,Index,0.7392
Ethiopia,2006,Educational_Attainment_Subindex,Rank,108
Ethiopia,2006,Health_and_Survival_Subindex,Index,0.9687
Ethiopia,2006,Health_and_Survival_Subindex,Rank,87
Ethiopia,2006,Political_Empowerment_subindex,Index,0.1023
Ethiopia,2006,Political_Empowerment_subindex,Rank,61
Finland,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7341
Finland,2006,Economic_Participation_and_Opportunity_Subindex,Rank,8
Finland,2006,Educational_Attainment_Subindex,Index,0.9992
Finland,2006,Educational_Attainment_Subindex,Rank,17
Finland,2006,Health_and_Survival_Subindex,Index,0.9796
Finland,2006,Health_and_Survival_Subindex,Rank,1
Finland,2006,Political_Empowerment_subindex,Index,0.4704
Finland,2006,Political_Empowerment_subindex,Rank,3
France,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5247
France,2006,Economic_Participation_and_Opportunity_Subindex,Rank,88
France,2006,Educational_Attainment_Subindex,Index,1
France,2006,Educational_Attainment_Subindex,Rank,1
France,2006,Health_and_Survival_Subindex,Index,0.9796
France,2006,Health_and_Survival_Subindex,Rank,1
France,2006,Political_Empowerment_subindex,Index,0.104
France,2006,Political_Empowerment_subindex,Rank,60
United Kingdom,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6643
United Kingdom,2006,Economic_Participation_and_Opportunity_Subindex,Rank,37
United Kingdom,2006,Educational_Attainment_Subindex,Index,1
United Kingdom,2006,Educational_Attainment_Subindex,Rank,1
United Kingdom,2006,Health_and_Survival_Subindex,Index,0.9742
United Kingdom,2006,Health_and_Survival_Subindex,Rank,63
United Kingdom,2006,Political_Empowerment_subindex,Index,0.3074
United Kingdom,2006,Political_Empowerment_subindex,Rank,12
Georgia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6565
Georgia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,41
Georgia,2006,Educational_Attainment_Subindex,Index,0.9967
Georgia,2006,Educational_Attainment_Subindex,Rank,27
Georgia,2006,Health_and_Survival_Subindex,Index,0.9227
Georgia,2006,Health_and_Survival_Subindex,Rank,115
Georgia,2006,Political_Empowerment_subindex,Index,0.1042
Georgia,2006,Political_Empowerment_subindex,Rank,59
Ghana,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7535
Ghana,2006,Economic_Participation_and_Opportunity_Subindex,Rank,5
Ghana,2006,Educational_Attainment_Subindex,Index,0.8682
Ghana,2006,Educational_Attainment_Subindex,Rank,94
Ghana,2006,Health_and_Survival_Subindex,Index,0.9685
Ghana,2006,Health_and_Survival_Subindex,Rank,89
Ghana,2006,Political_Empowerment_subindex,Index,0.071
Ghana,2006,Political_Empowerment_subindex,Rank,80
Gambia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6876
Gambia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,25
Gambia,2006,Educational_Attainment_Subindex,Index,0.8086
Gambia,2006,Educational_Attainment_Subindex,Rank,106
Gambia,2006,Health_and_Survival_Subindex,Index,0.9741
Gambia,2006,Health_and_Survival_Subindex,Rank,64
Gambia,2006,Political_Empowerment_subindex,Index,0.1089
Gambia,2006,Political_Empowerment_subindex,Rank,55
Greece,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5855
Greece,2006,Economic_Participation_and_Opportunity_Subindex,Rank,70
Greece,2006,Educational_Attainment_Subindex,Index,0.9918
Greece,2006,Educational_Attainment_Subindex,Rank,45
Greece,2006,Health_and_Survival_Subindex,Index,0.9779
Greece,2006,Health_and_Survival_Subindex,Rank,53
Greece,2006,Political_Empowerment_subindex,Index,0.0609
Greece,2006,Political_Empowerment_subindex,Rank,87
Guatemala,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4425
Guatemala,2006,Economic_Participation_and_Opportunity_Subindex,Rank,104
Guatemala,2006,Educational_Attainment_Subindex,Index,0.8945
Guatemala,2006,Educational_Attainment_Subindex,Rank,91
Guatemala,2006,Health_and_Survival_Subindex,Index,0.9796
Guatemala,2006,Health_and_Survival_Subindex,Rank,1
Guatemala,2006,Political_Empowerment_subindex,Index,0.1101
Guatemala,2006,Political_Empowerment_subindex,Rank,54
Honduras,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4777
Honduras,2006,Economic_Participation_and_Opportunity_Subindex,Rank,99
Honduras,2006,Educational_Attainment_Subindex,Index,1
Honduras,2006,Educational_Attainment_Subindex,Rank,1
Honduras,2006,Health_and_Survival_Subindex,Index,0.9796
Honduras,2006,Health_and_Survival_Subindex,Rank,1
Honduras,2006,Political_Empowerment_subindex,Index,0.1359
Honduras,2006,Political_Empowerment_subindex,Rank,42
Croatia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6507
Croatia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,42
Croatia,2006,Educational_Attainment_Subindex,Index,0.9905
Croatia,2006,Educational_Attainment_Subindex,Rank,50
Croatia,2006,Health_and_Survival_Subindex,Index,0.9791
Croatia,2006,Health_and_Survival_Subindex,Rank,36
Croatia,2006,Political_Empowerment_subindex,Index,0.2375
Croatia,2006,Political_Empowerment_subindex,Rank,18
Hungary,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6402
Hungary,2006,Economic_Participation_and_Opportunity_Subindex,Rank,48
Hungary,2006,Educational_Attainment_Subindex,Index,0.9908
Hungary,2006,Educational_Attainment_Subindex,Rank,48
Hungary,2006,Health_and_Survival_Subindex,Index,0.9791
Hungary,2006,Health_and_Survival_Subindex,Rank,36
Hungary,2006,Political_Empowerment_subindex,Index,0.069
Hungary,2006,Political_Empowerment_subindex,Rank,82
Indonesia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5982
Indonesia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,67
Indonesia,2006,Educational_Attainment_Subindex,Index,0.9488
Indonesia,2006,Educational_Attainment_Subindex,Rank,80
Indonesia,2006,Health_and_Survival_Subindex,Index,0.9687
Indonesia,2006,Health_and_Survival_Subindex,Rank,88
Indonesia,2006,Political_Empowerment_subindex,Index,0.1007
Indonesia,2006,Political_Empowerment_subindex,Rank,63
India,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.3967
India,2006,Economic_Participation_and_Opportunity_Subindex,Rank,110
India,2006,Educational_Attainment_Subindex,Index,0.8188
India,2006,Educational_Attainment_Subindex,Rank,102
India,2006,Health_and_Survival_Subindex,Index,0.9624
India,2006,Health_and_Survival_Subindex,Rank,103
India,2006,Political_Empowerment_subindex,Index,0.2266
India,2006,Political_Empowerment_subindex,Rank,20
Ireland,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6404
Ireland,2006,Economic_Participation_and_Opportunity_Subindex,Rank,47
Ireland,2006,Educational_Attainment_Subindex,Index,1
Ireland,2006,Educational_Attainment_Subindex,Rank,1
Ireland,2006,Health_and_Survival_Subindex,Index,0.9701
Ireland,2006,Health_and_Survival_Subindex,Rank,81
Ireland,2006,Political_Empowerment_subindex,Index,0.3233
Ireland,2006,Political_Empowerment_subindex,Rank,9
Iran,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.3586
Iran,2006,Economic_Participation_and_Opportunity_Subindex,Rank,113
Iran,2006,Educational_Attainment_Subindex,Index,0.9535
Iran,2006,Educational_Attainment_Subindex,Rank,79
Iran,2006,Health_and_Survival_Subindex,Index,0.978
Iran,2006,Health_and_Survival_Subindex,Rank,52
Iran,2006,Political_Empowerment_subindex,Index,0.031
Iran,2006,Political_Empowerment_subindex,Rank,109
Iceland,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7107
Iceland,2006,Economic_Participation_and_Opportunity_Subindex,Rank,17
Iceland,2006,Educational_Attainment_Subindex,Index,0.9905
Iceland,2006,Educational_Attainment_Subindex,Rank,49
Iceland,2006,Health_and_Survival_Subindex,Index,0.9679
Iceland,2006,Health_and_Survival_Subindex,Rank,92
Iceland,2006,Political_Empowerment_subindex,Index,0.456
Iceland,2006,Political_Empowerment_subindex,Rank,4
Israel,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.641
Israel,2006,Economic_Participation_and_Opportunity_Subindex,Rank,46
Israel,2006,Educational_Attainment_Subindex,Index,0.9951
Israel,2006,Educational_Attainment_Subindex,Rank,35
Israel,2006,Health_and_Survival_Subindex,Index,0.9694
Israel,2006,Health_and_Survival_Subindex,Rank,83
Israel,2006,Political_Empowerment_subindex,Index,0.1501
Israel,2006,Political_Empowerment_subindex,Rank,36
Italy,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5265
Italy,2006,Economic_Participation_and_Opportunity_Subindex,Rank,87
Italy,2006,Educational_Attainment_Subindex,Index,0.9969
Italy,2006,Educational_Attainment_Subindex,Rank,26
Italy,2006,Health_and_Survival_Subindex,Index,0.9717
Italy,2006,Health_and_Survival_Subindex,Rank,77
Italy,2006,Political_Empowerment_subindex,Index,0.0872
Italy,2006,Political_Empowerment_subindex,Rank,72
Jamaica,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7377
Jamaica,2006,Economic_Participation_and_Opportunity_Subindex,Rank,7
Jamaica,2006,Educational_Attainment_Subindex,Index,1
Jamaica,2006,Educational_Attainment_Subindex,Rank,1
Jamaica,2006,Health_and_Survival_Subindex,Index,0.9696
Jamaica,2006,Health_and_Survival_Subindex,Rank,82
Jamaica,2006,Political_Empowerment_subindex,Index,0.0983
Jamaica,2006,Political_Empowerment_subindex,Rank,65
Jordan,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4421
Jordan,2006,Economic_Participation_and_Opportunity_Subindex,Rank,105
Jordan,2006,Educational_Attainment_Subindex,Index,0.9793
Jordan,2006,Educational_Attainment_Subindex,Rank,69
Jordan,2006,Health_and_Survival_Subindex,Index,0.9746
Jordan,2006,Health_and_Survival_Subindex,Rank,62
Jordan,2006,Political_Empowerment_subindex,Index,0.0476
Jordan,2006,Political_Empowerment_subindex,Rank,100
Japan,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5453
Japan,2006,Economic_Participation_and_Opportunity_Subindex,Rank,83
Japan,2006,Educational_Attainment_Subindex,Index,0.9864
Japan,2006,Educational_Attainment_Subindex,Rank,59
Japan,2006,Health_and_Survival_Subindex,Index,0.9796
Japan,2006,Health_and_Survival_Subindex,Rank,1
Japan,2006,Political_Empowerment_subindex,Index,0.0675
Japan,2006,Political_Empowerment_subindex,Rank,83
Kazakhstan,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7133
Kazakhstan,2006,Economic_Participation_and_Opportunity_Subindex,Rank,16
Kazakhstan,2006,Educational_Attainment_Subindex,Index,0.9902
Kazakhstan,2006,Educational_Attainment_Subindex,Rank,53
Kazakhstan,2006,Health_and_Survival_Subindex,Index,0.9791
Kazakhstan,2006,Health_and_Survival_Subindex,Rank,36
Kazakhstan,2006,Political_Empowerment_subindex,Index,0.0888
Kazakhstan,2006,Political_Empowerment_subindex,Rank,69
Kenya,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6575
Kenya,2006,Economic_Participation_and_Opportunity_Subindex,Rank,40
Kenya,2006,Educational_Attainment_Subindex,Index,0.9177
Kenya,2006,Educational_Attainment_Subindex,Rank,88
Kenya,2006,Health_and_Survival_Subindex,Index,0.9663
Kenya,2006,Health_and_Survival_Subindex,Rank,96
Kenya,2006,Political_Empowerment_subindex,Index,0.0528
Kenya,2006,Political_Empowerment_subindex,Rank,93
Kyrgyz Republic,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6865
Kyrgyz Republic,2006,Economic_Participation_and_Opportunity_Subindex,Rank,26
Kyrgyz Republic,2006,Educational_Attainment_Subindex,Index,0.9952
Kyrgyz Republic,2006,Educational_Attainment_Subindex,Rank,32
Kyrgyz Republic,2006,Health_and_Survival_Subindex,Index,0.9796
Kyrgyz Republic,2006,Health_and_Survival_Subindex,Rank,1
